OBJECTID,Oceans,Regions,SubRegions,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Sediment Sample Depth (m),Sampling Method,Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Microplastics Measurement (density),Unit,Density Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,Latitude,Longitude,Date,Mesh Size (mm),Standardized Nurdle Amount,Water Sample Depth (m),GlobalID,x,y
12108,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Neuston net,,,,,0.173845,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.4857,92.897,5/31/2013,0.33,,0,79be0299-ab97-4051-ab3a-9ee0d35a9d63,92.897,6.4857
11369,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Manta net,,,,,2.190999,pieces/m3,10-Jan,High,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, High, 1-10 pieces/m3",6.491,92.83,5/31/2013,0.335,,0.08,2e6ab28f-ed69-4434-a419-64c3ec9bad38,92.83,6.491
11368,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,AVANI net,,,,,1.713479,pieces/m3,10-Jan,High,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, High, 1-10 pieces/m3",6.497,92.2718,5/31/2013,0.335,,0.2,1bed929c-b29e-4291-96d8-583e67dc66e3,92.2718,6.497
11366,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,AVANI net,,,,,0.115107,pieces/m3,0.005-1,Medium,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.5207,91.1452,5/30/2013,0.335,,0.2,4b09d013-b793-4ab3-99bb-ecebd91cfc26,91.1452,6.5207
11367,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Manta net,,,,,0.644635,pieces/m3,0.005-1,Medium,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.4975,92.2077,5/31/2013,0.335,,0.08,4823d0ef-6095-4dea-b07e-a91907495cd1,92.207667,6.4975
12106,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Neuston net,,,,,0.052459,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.5213,91.1412,5/30/2013,0.33,,0,d05c2dac-8f24-4bf3-8081-5f9f3c62836a,91.1412,6.5213
11365,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Manta net,,,,,0.142389,pieces/m3,0.005-1,Medium,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.5348,91.0682,5/30/2013,0.335,,0.08,1f636530-0eda-4a1f-b196-248c83e52b9e,91.068167,6.534833
11357,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Manta net,,,,,0.013651,pieces/m3,0.005-1,Medium,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.2255,87.559,5/28/2013,0.335,,0.08,a0167065-eb8b-4f61-8dcc-cd55528ad401,87.559,6.2255
12102,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,Neuston net,,,,,0.008191,pieces/m3,0.005-1,Medium,Eriksen et al.2014,"Eriksen, M., L.C.M. Lebreton, H.S. Carson, M. Thiel, C.J. Moore, J.C. Borerro, F. Galgani, P.G. Ryan, J. Reisser. 2014. Plastic Pollution in the World’s Oceans: More than 5 Trillion Plastic Pieces Weighing over 250,000 Tons Afloat at Sea. PLoS ONE 9(12): e111913. doi:10.1371/journal.pone.0111913",https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,SV Mir; ORV Alguita; SV Sea Dragon; RV Stad Amsterdam,275968,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275968,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.2427,87.6247,5/28/2013,0.33,,0,88e22a3f-f2c2-4fd8-844f-0b65e2c6320d,87.6247,6.2427
11358,Indian Ocean,Bay of Bengal,,,,,Ocean water,,,AVANI net,,,,,0.005113,pieces/m3,0.005-1,Medium,Eriksen et al.2018,"Eriksen, M., M. Liboiron, T. Kiessling, L. Charron, A. Alling, L. Lebreton, H. Richards, B. Roth, N. C. Ory, V. Hidalgo-Ruz, E. Meerhoff, C. Box, A. Cummins, M. Thiel. 2018. Microplastic sampling with the AVANI trawl compared to two neuston trawls in the Bay of Bengal and South Pacific. Environmental Pollution 232, 430-439. https://doi.org/10.1016/j.envpol.2017.09.058",https://doi.org/10.1016/j.envpol.2017.09.058,5 Gyres Institute,AVANI Net; SV Mir; RV Cabo de Hornos,275967,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:275967,"Ocean Surface, Medium, 0.005-1 pieces/m3",6.2437,87.6267,5/28/2013,0.335,,0.2,bed861f1-9480-45c1-9c4b-bcb33c6e2e09,87.6267,6.2437
